"id","name","latitude","longitude"
"1006","1959F6","43.6030518040593","3.87059867436312"
"1007","1959F7","43.6038281070068","3.87285475619137"
"1008","1959F8","43.6031697399042","3.86724889978223"
"1009","1959F9","43.6072006459989","3.8679263087123"
"1010","1959FA","43.6022101745741","3.8681741619381"
"1011","1959FB","43.6144494975265","3.85745973416647"
"1012","1959FC","43.5977294542622","3.88565076537088"
"1013","1959FD","43.6087105931964","3.89136720344061"
"1014","1959FE","43.6015763432938","3.8689454248223"
"1015","1959FF","43.6102657346707","3.86387253000362"
"1016","195A00","43.6070600197092","3.889557063751"
"1017","195A01","43.6074903269222","3.88695248406941"
"1018","195A02","43.6069589168778","3.89369435113281"
"1019","195A03","43.6060232407205","3.89477723721075"
"1020","195A04","43.6060123772975","3.89487683725622"
"1021","195A05","43.6067208444234","3.89652774438912"
"1022","195A06","43.606032535438","3.89492889172743"
"1023","195A07","43.6066942872954","3.89653385296356"
"1024","195A08","43.605701812736","3.89359581044243"
"1025","195A09","43.6077782192318","3.89582639935054"
"1026","195A0A","43.6048466702362","3.86728048536634"
"1027","195A0B","43.6087033342129","3.89129794635699"
"1028","195A0C","43.5995283673859","3.88210152729141"
"1029","195A0D","43.5978222315246","3.88551915726953"
"1030","195A0E","43.5978609967929","3.8854763864955"
"1031","195A0F","43.5994661632512","3.88169340191712"
"1032","195A10","43.6168094815686","3.86158592878576"
"1033","195A11","43.5997312637743","3.88332145636593"
"1034","195A12","43.6065113762279","3.86871093348532"
"1035","195A13","43.6046309169483","3.89089279174141"
"1036","195A14","43.6022178680002","3.86815229486501"
"1037","195A15","43.6071800906451","3.89124499628679"
"1038","195A16","43.604643930196","3.8909330724282"
"1039","195A17","43.604957734533","3.88535558749345"
"1040","195A18","43.6048044322668","3.88610744684433"
"1041","195A19","43.6160482509247","3.86302929178862"
"1042","195A1A","43.6074681417744","3.88666271734724"
"1043","195A1B","43.6073771103661","3.86873215049309"
"1044","195A1C","43.6073561338708","3.88705219142139"
"1045","195A1D","43.608743947121","3.89143182728708"
"1046","195A1E","43.6073820339516","3.88674625195563"
"1047","195A1F","43.6045704197453","3.88775721067987"
"1048","195A20","43.6082511","3.8944405"
"1049","195A21","43.6069639722185","3.89358247887048"
"1050","195A22","43.6068959687859","3.89450230246723"
"1051","195A23","43.6082481","3.8944148"
"1052","195A24","43.6069601679374","3.89362957540266"
"1053","195A25","43.6070293156512","3.89261961800662"
"1054","195A26","43.6068795835028","3.89589696709572"
"1055","194B2E","43.5872915884183","3.85237170279697"
"1056","194B2F","43.6188021470843","3.90312219552243"
"1057","194B30","43.6166064298992","3.89717963154214"
"1058","194B37","43.6008440819855","3.91447258612084"
"1059","194B38","43.5992297929319","3.86223862368377"
"1060","194B39","43.6177922439466","3.91254688657716"
"1061","194B3A","43.6141761860034","3.90686639070964"
"1062","194B3B","43.5930739427785","3.84140100164291"
"1063","194B3C","43.6100992740724","3.86314615858464"
"1064","194B3D","43.6177730207492","3.91250350544226"
"1065","194B3E","43.6236881528477","3.81612433050725"
"1066","194B3F","43.6054193589204","3.8853761431202"
"1068","194B41","43.6173757557659","3.91204379321903"
"1072","194B45","43.5938057284869","3.84253628160559"
"1073","194B46","43.5980435075612","3.83371849833736"
"1074","194B47","43.5915550031442","3.84953713942753"
"1078","194B4B","43.5881328683429","3.85283465719351"
"1080","194B4D","43.5948078189905","3.8325370051765"
"1081","194B4E","43.5938326724736","3.8427033350888"
"1082","194B4F","43.5881170127854","3.85286468075617"
"1083","194B50","43.5931311725217","3.84183306373097"
"1084","194B51","43.5901574924772","3.8519295655035"
"1085","194B53","43.6139693977474","3.90634862889965"
"1086","194B54","43.6077500508261","3.91126546753969"
"1087","194B55","43.5976748465081","3.86620161444239"
"1088","194B56","43.6418595150392","3.81792970324091"
"1089","194B57","43.6130424280733","3.85245210176424"
"1090","194B58","43.6170729633049","3.88346282641646"
"1091","194B59","43.6184458241781","3.89992900201219"
"1092","194B5A","43.6278837960905","3.82563882220609"
"1093","194B5B","43.6104866305489","3.87105082177868"
"1094","194B5C","43.6084462427923","3.86324980444999"
"1095","194B5D","43.644033990573","3.81920300820559"
